number;name;x;y;val;
722;0;1.012780e-03;5.575012e-03;6.632588e-02;
722;1;1.186940e-03;6.023111e-03;7.955427e-02;
722;2;-3.556302e-04;4.951740e-03;6.883796e-02;
723;0;3.026984e-03;-1.041006e-03;2.926119e-02;
723;1;4.875472e-03;-1.954639e-03;5.581741e-02;
723;2;1.983805e-03;-1.953160e-03;4.588381e-02;
724;0;5.369551e-02;-2.981154e-01;-4.775173e-01;
724;1;-1.229223e-01;-1.627793e-01;8.292680e-01;
724;2;3.293426e-02;-1.500165e-01;-6.879352e-01;
725;0;-6.532602e-02;-4.253609e-02;8.648193e-01;
725;1;-1.438481e-01;-5.095539e-02;7.822877e-01;
725;2;-6.537430e-02;-1.764936e-02;2.849696e-01;
726;0;-9.067571e-10;3.732340e-10;-1.948571e-08;
726;1;4.772150e-10;-2.412786e-10;9.396043e-09;
726;2;-2.134123e-10;5.809005e-11;-2.070637e-09;
727;0;3.127758e-09;-1.123155e-08;-1.755347e-07;
727;1;6.047813e-09;-2.509969e-08;-4.218350e-07;
727;2;4.375335e-10;6.877756e-09;9.306457e-08;
728;0;-1.621050e-02;-1.886643e-02;5.589539e-01;
728;1;-6.202174e-02;-3.797552e-02;7.925094e-01;
728;2;-6.658689e-02;-2.735526e-02;3.438124e-01;
729;0;-1.671701e-38;1.212199e-38;2.895186e-37;
729;1;-2.495538e-39;-1.848693e-39;-9.840704e-38;
729;2;1.421149e-38;-1.133821e-38;-1.629196e-37;
730;0;-6.833448e-35;-6.494259e-35;1.734571e-33;
730;1;-3.945544e-34;9.970994e-34;-2.124781e-32;
730;2;1.307899e-34;-3.787879e-34;8.346639e-33;
731;0;2.617696e-25;-7.175422e-26;-5.108766e-24;
731;1;-1.891358e-25;4.638587e-26;2.845421e-24;
731;2;2.347760e-25;-3.663285e-26;-3.573341e-24;
732;0;9.023751e-71;-1.067685e-71;1.049533e-69;
732;1;1.470805e-70;-4.438968e-71;3.001069e-69;
732;2;-9.178472e-71;1.770138e-71;-1.502026e-69;
733;0;5.744333e-03;6.188932e-03;-2.090980e-01;
733;1;2.808319e-03;6.779874e-03;-2.063122e-01;
733;2;3.882529e-03;1.151320e-02;-2.829815e-01;
734;0;5.612765e-55;-3.947316e-55;-1.695667e-53;
734;1;4.009164e-55;-2.213286e-55;-8.970903e-54;
734;2;-2.209752e-54;-3.761266e-55;6.481974e-53;
735;0;-8.886356e-70;2.161263e-69;-3.190757e-68;
735;1;-1.396476e-69;4.490408e-69;-5.251497e-68;
735;2;2.587686e-69;-9.613084e-69;9.558633e-68;
736;0;8.741709e-31;-9.138645e-32;1.279023e-29;
736;1;-2.500946e-30;1.183121e-30;-5.890319e-29;
736;2;2.237873e-31;-2.404592e-31;8.274115e-30;
737;0;-1.949489e-31;-2.277584e-31;-1.855316e-30;
737;1;-7.267430e-31;1.326795e-31;-1.373230e-30;
737;2;1.075420e-30;-1.078128e-31;2.539830e-30;
738;0;3.304242e-77;5.755363e-77;-1.417876e-75;
738;1;-1.032945e-77;-1.549945e-77;4.301615e-76;
738;2;-1.400032e-77;-1.938478e-77;4.604566e-76;
739;0;-2.687568e-70;-2.474962e-70;6.525634e-69;
739;1;-1.724287e-69;-6.217236e-70;3.999847e-68;
739;2;8.696231e-70;2.870266e-70;-1.888378e-68;
740;0;-5.507792e-53;-4.442644e-53;8.336976e-52;
740;1;6.170839e-53;5.197341e-53;-1.154566e-51;
740;2;-1.165746e-52;-7.950890e-53;2.125298e-51;
741;0;5.254050e-04;-3.204750e-04;8.945487e-03;
741;1;2.821370e-04;-1.523700e-04;4.042872e-03;
741;2;1.111285e-03;-4.424868e-04;1.505335e-02;
742;0;1.372194e-05;-3.883335e-06;-2.842040e-04;
742;1;1.550055e-05;1.370198e-05;-1.706299e-04;
742;2;1.000045e-04;2.982809e-05;-2.666108e-03;
743;0;4.407573e-15;4.107856e-15;7.572098e-14;
743;1;-1.804860e-15;4.836350e-16;-1.666290e-14;
743;2;1.962127e-15;2.511594e-15;6.773085e-14;
744;0;9.012343e-14;-1.625673e-13;-7.303377e-13;
744;1;5.308582e-14;1.798985e-13;1.168017e-12;
744;2;-4.646696e-13;5.001236e-13;1.197110e-11;
745;0;-1.683728e-54;-3.573832e-54;6.297597e-53;
745;1;-1.490076e-54;-2.658675e-54;3.860618e-53;
745;2;2.192460e-54;1.143328e-53;-2.117208e-52;
746;0;-2.460000e-83;-9.747822e-83;2.592042e-81;
746;1;-4.915901e-83;-1.699253e-82;4.004143e-81;
746;2;-1.057197e-82;2.660528e-82;-5.681702e-81;
747;0;4.817819e-05;3.721513e-04;7.454267e-03;
747;1;2.879083e-04;3.174941e-04;-1.559934e-02;
747;2;3.339680e-04;3.027654e-04;-1.626954e-02;
748;0;-8.726379e-12;6.460697e-11;-1.433178e-09;
748;1;2.639581e-11;4.953363e-11;-1.320079e-09;
