number;name;x;y;val;
91;2;2.367648e-07;3.827720e-07;-6.371233e-06;
92;0;1.213772e-35;-8.224431e-35;3.025915e-34;
92;1;-6.565379e-36;1.253096e-34;-4.146393e-34;
92;2;-2.104714e-36;6.563769e-35;-2.151217e-34;
93;0;1.307720e-26;8.080952e-26;-1.946633e-24;
93;1;2.787802e-26;1.244122e-25;-2.788894e-24;
93;2;-1.989487e-25;-3.489412e-25;1.017288e-23;
94;0;2.275248e-74;5.404773e-74;-7.663369e-73;
94;1;2.425176e-74;2.258547e-73;-5.424556e-72;
94;2;-3.069867e-74;-1.173473e-73;2.503723e-72;
95;0;-7.566372e-77;3.438712e-77;2.312634e-75;
95;1;2.764210e-76;-1.030392e-76;-7.821458e-75;
95;2;-6.731806e-77;5.199766e-77;2.038822e-75;
96;0;5.089323e-10;1.606272e-10;-5.037497e-09;
96;1;2.808520e-10;-1.899989e-10;-1.185136e-08;
96;2;3.990149e-10;-1.808251e-10;-1.430621e-08;
97;0;1.567502e-17;1.593028e-18;-1.040338e-16;
97;1;8.288877e-18;-1.192433e-18;-8.764977e-17;
97;2;-8.138812e-18;2.679318e-18;9.711749e-17;
98;0;4.383436e-11;-1.697139e-11;-3.340596e-10;
98;1;2.942616e-10;-1.630202e-10;-2.972487e-09;
98;2;-2.360409e-11;-6.016743e-13;-1.659568e-10;
99;0;1.747392e-21;-3.705639e-22;-4.440639e-20;
99;1;4.478312e-22;-3.543475e-22;-2.964138e-21;
99;2;3.636719e-21;2.383189e-21;-6.921768e-20;
100;0;6.075053e-65;-7.672680e-65;2.192232e-63;
100;1;-4.582724e-65;6.393541e-65;-1.422105e-63;
100;2;5.319429e-65;-7.391006e-65;1.557200e-63;
101;0;-3.355303e-19;-1.520798e-17;-2.254288e-16;
101;1;-3.661326e-18;-9.217462e-18;-8.842905e-17;
101;2;-3.003475e-18;4.905566e-18;8.079415e-17;
102;0;2.210283e-32;1.683544e-32;-5.383107e-31;
